Dow,Nasdaq,S&P_500
23441.7598,6598.4302,2569.1299
23329.4609,6563.8901,2557.1499
23400.8594,6556.77,2560.3999
23434.1895,6701.2598,2581.0701
23348.7402,6698.96,2572.8301
23377.2402,6727.6699,2575.26
23435.0098,6716.5298,2579.3601
23516.2598,6714.9399,2579.8501
23539.1895,6764.4399,2587.8401
23548.4199,6786.4399,2591.1299
23557.2305,6767.7798,2590.6399
23563.3594,6789.1201,2594.3799
23461.9395,6750.0498,2584.6201
23422.2109,6750.9399,2582.3
23439.6992,6757.6001,2584.8401
23409.4707,6737.8701,2578.8701
23271.2793,6706.21,2564.6201
23458.3594,6793.29,2585.6399
23358.2402,6782.79,2578.8501
23430.3301,6790.71,2582.1399
23590.8301,6862.48,2599.03
23526.1797,6867.3599,2597.0801
23557.9902,6889.1602,2602.4199
23580.7793,6878.52,2601.4199
23836.7109,6912.3599,2627.04
23940.6797,6824.3901,2626.0701
24272.3496,6873.9702,2647.5801
24231.5898,6847.5898,2642.22
24290.0508,6775.3701,2639.4399
24180.6406,6762.21,2629.5701
24140.9102,6776.3799,2629.27
24211.4805,6812.8398,2636.98
24329.1602,6840.0801,2651.5
24386.0293,6875.0801,2659.99
24504.8008,6862.3198,2664.1101
24585.4297,6875.7998,2662.8501
24508.6602,6856.5298,2652.01
24651.7402,6936.5801,2675.8101
24792.1992,6994.7598,2690.1599
24754.75,6963.8501,2681.47
24726.6504,6960.96,2679.25
24782.2891,6965.3599,2684.5701
24754.0605,6959.96,2683.3401
24746.2109,6936.25,2680.5
24774.3008,6939.3398,2682.6201
24837.5098,6950.1602,2687.54
24719.2207,6903.3901,2673.6101
24824.0098,7006.8999,2695.8101
24922.6797,7065.5298,2713.0601
25075.1309,7077.9102,2723.99
25295.8691,7136.5601,2743.1499
25283.0,7157.3901,2747.71
25385.8008,7163.5801,2751.29
25369.1309,7153.5698,2748.23
25574.7305,7211.7798,2767.5601
25803.1895,7261.0601,2786.24
25792.8594,7223.6899,2776.4199
26115.6504,7298.2798,2802.5601
26017.8105,7296.0498,2798.03
26071.7207,7336.3799,2810.3
26214.5996,7408.0298,2832.97
26210.8105,7460.29,2839.1299
26252.1191,7415.0601,2837.54
26392.7891,7411.1602,2839.25
26616.7109,7505.77,2872.8701
26439.4805,7466.5098,2853.53
26076.8906,7402.48,2822.4299
26149.3906,7411.48,2823.8101
26186.7109,7385.8599,2821.98
25520.9609,7240.9502,2762.1299
24345.75,6967.5298,2648.9399
24912.7695,7115.8799,2695.1399
24893.3496,7051.98,2681.6599
23860.4609,6777.1602,2581.0
24190.9004,6874.4902,2619.55
24601.2695,6981.96,2656.0
24640.4492,7013.5098,2662.9399
24893.4902,7143.6201,2698.6299
